video.yandex.ru	7030
video.yandex.ru	6962
video.yandex.ru	6934
video.yandex.ru	6907
video.yandex.ru	6866
video.yandex.ru	6864
video.yandex.ru	6857
video.yandex.ru	6853
video.yandex.ru	6693
video.yandex.ru	6662
video.yandex.ru	6652
video.yandex.ru	6648
video.yandex.ru	6630
video.yandex.ru	6598
video.yandex.ru	6547
video.yandex.ru	6542
video.yandex.ru	6531
video.yandex.ru	6456
video.yandex.ru	6455
video.yandex.ru	6440
video.yandex.ru	6425
video.yandex.ru	6416
video.yandex.ru	6392
video.yandex.ru	6383
video.yandex.ru	6381
